task,episode,step,colliding_geom
pick up the black bowl between the plate and the ramekin and place it on the plate,30,199,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,30,200,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,30,201,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,30,202,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,30,203,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,30,204,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,30,205,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,30,206,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,30,207,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,30,208,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,30,209,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,30,210,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,30,211,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,30,212,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,30,213,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,30,214,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,30,215,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,30,216,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,30,217,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,30,218,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,30,219,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,30,220,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,36,215,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,36,216,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,36,217,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,36,219,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,36,220,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,40,218,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,40,220,table_collision
pick up the black bowl between the plate and the ramekin and place it on the plate,48,191,wooden_cabinet_1_g9
pick up the black bowl between the plate and the ramekin and place it on the plate,48,202,wooden_cabinet_1_g9
pick up the black bowl between the plate and the ramekin and place it on the plate,48,207,wooden_cabinet_1_g9
pick up the black bowl next to the ramekin and place it on the plate,8,181,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,181,wooden_cabinet_1_g1
pick up the black bowl next to the ramekin and place it on the plate,8,184,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,185,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,186,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,187,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,188,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,189,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,190,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,191,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,192,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,193,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,194,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,195,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,196,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,197,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,198,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,199,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,200,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,201,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,202,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,203,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,204,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,205,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,206,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,207,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,208,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,209,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,210,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,211,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,212,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,213,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,214,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,215,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,216,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,217,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,218,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,219,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,8,220,wooden_cabinet_1_g5
pick up the black bowl next to the ramekin and place it on the plate,11,192,wooden_cabinet_1_g9
pick up the black bowl next to the ramekin and place it on the plate,11,197,wooden_cabinet_1_g9
pick up the black bowl next to the ramekin and place it on the plate,11,198,wooden_cabinet_1_g9
pick up the black bowl next to the ramekin and place it on the plate,11,201,wooden_cabinet_1_g9
pick up the black bowl next to the ramekin and place it on the plate,11,202,wooden_cabinet_1_g9
pick up the black bowl next to the ramekin and place it on the plate,11,203,wooden_cabinet_1_g9
pick up the black bowl next to the ramekin and place it on the plate,11,205,wooden_cabinet_1_g9
pick up the black bowl next to the ramekin and place it on the plate,11,206,wooden_cabinet_1_g9
pick up the black bowl next to the ramekin and place it on the plate,11,207,wooden_cabinet_1_g9
pick up the black bowl next to the ramekin and place it on the plate,11,212,wooden_cabinet_1_g9
pick up the black bowl next to the ramekin and place it on the plate,11,213,wooden_cabinet_1_g9
pick up the black bowl next to the ramekin and place it on the plate,12,216,wooden_cabinet_1_g9
pick up the black bowl next to the ramekin and place it on the plate,12,217,wooden_cabinet_1_g9
pick up the black bowl next to the ramekin and place it on the plate,12,218,wooden_cabinet_1_g9
pick up the black bowl from table center and place it on the plate,11,201,wooden_cabinet_1_g5
pick up the black bowl from table center and place it on the plate,11,201,wooden_cabinet_1_g1
pick up the black bowl from table center and place it on the plate,11,202,wooden_cabinet_1_g5
pick up the black bowl from table center and place it on the plate,11,203,wooden_cabinet_1_g5
pick up the black bowl from table center and place it on the plate,11,204,wooden_cabinet_1_g5
pick up the black bowl from table center and place it on the plate,11,205,wooden_cabinet_1_g5
pick up the black bowl from table center and place it on the plate,11,206,wooden_cabinet_1_g5
pick up the black bowl from table center and place it on the plate,11,207,wooden_cabinet_1_g5
pick up the black bowl from table center and place it on the plate,11,208,wooden_cabinet_1_g5
pick up the black bowl from table center and place it on the plate,11,209,wooden_cabinet_1_g5
pick up the black bowl from table center and place it on the plate,11,210,wooden_cabinet_1_g5
pick up the black bowl from table center and place it on the plate,11,211,wooden_cabinet_1_g5
pick up the black bowl from table center and place it on the plate,11,212,wooden_cabinet_1_g5
pick up the black bowl from table center and place it on the plate,11,213,wooden_cabinet_1_g5
pick up the black bowl from table center and place it on the plate,11,214,wooden_cabinet_1_g5
pick up the black bowl from table center and place it on the plate,11,215,wooden_cabinet_1_g5
pick up the black bowl from table center and place it on the plate,11,216,wooden_cabinet_1_g5
pick up the black bowl from table center and place it on the plate,11,217,wooden_cabinet_1_g5
pick up the black bowl from table center and place it on the plate,11,218,wooden_cabinet_1_g5
pick up the black bowl from table center and place it on the plate,11,219,wooden_cabinet_1_g5
pick up the black bowl from table center and place it on the plate,11,220,wooden_cabinet_1_g5
pick up the black bowl from table center and place it on the plate,19,155,table_collision
pick up the black bowl from table center and place it on the plate,19,158,table_collision
pick up the black bowl from table center and place it on the plate,19,166,table_collision
pick up the black bowl from table center and place it on the plate,19,174,table_collision
pick up the black bowl from table center and place it on the plate,19,177,table_collision
pick up the black bowl from table center and place it on the plate,19,181,table_collision
pick up the black bowl from table center and place it on the plate,19,184,table_collision
pick up the black bowl from table center and place it on the plate,19,188,table_collision
pick up the black bowl from table center and place it on the plate,19,190,table_collision
pick up the black bowl from table center and place it on the plate,19,191,table_collision
pick up the black bowl from table center and place it on the plate,19,192,table_collision
pick up the black bowl from table center and place it on the plate,19,193,table_collision
pick up the black bowl from table center and place it on the plate,19,194,table_collision
pick up the black bowl from table center and place it on the plate,19,196,table_collision
pick up the black bowl from table center and place it on the plate,19,198,table_collision
pick up the black bowl from table center and place it on the plate,19,199,table_collision
pick up the black bowl from table center and place it on the plate,19,202,table_collision
pick up the black bowl from table center and place it on the plate,19,203,table_collision
pick up the black bowl from table center and place it on the plate,19,204,table_collision
pick up the black bowl from table center and place it on the plate,19,205,table_collision
pick up the black bowl from table center and place it on the plate,19,207,table_collision
pick up the black bowl from table center and place it on the plate,19,210,table_collision
pick up the black bowl from table center and place it on the plate,19,212,table_collision
pick up the black bowl from table center and place it on the plate,19,213,table_collision
pick up the black bowl from table center and place it on the plate,19,214,table_collision
pick up the black bowl from table center and place it on the plate,19,215,table_collision
pick up the black bowl from table center and place it on the plate,19,216,table_collision
pick up the black bowl from table center and place it on the plate,19,217,table_collision
pick up the black bowl from table center and place it on the plate,19,218,table_collision
pick up the black bowl from table center and place it on the plate,19,219,table_collision
pick up the black bowl from table center and place it on the plate,19,220,table_collision
pick up the black bowl from table center and place it on the plate,37,218,table_collision
pick up the black bowl from table center and place it on the plate,37,219,table_collision
pick up the black bowl from table center and place it on the plate,37,220,table_collision
pick up the black bowl from table center and place it on the plate,45,219,table_collision
pick up the black bowl from table center and place it on the plate,45,220,table_collision
pick up the black bowl from table center and place it on the plate,47,206,table_collision
pick up the black bowl from table center and place it on the plate,47,207,table_collision
pick up the black bowl from table center and place it on the plate,47,208,table_collision
pick up the black bowl from table center and place it on the plate,47,209,table_collision
pick up the black bowl from table center and place it on the plate,47,210,table_collision
pick up the black bowl from table center and place it on the plate,47,211,table_collision
pick up the black bowl from table center and place it on the plate,47,212,table_collision
pick up the black bowl from table center and place it on the plate,47,213,table_collision
pick up the black bowl from table center and place it on the plate,47,214,table_collision
pick up the black bowl from table center and place it on the plate,47,215,table_collision
pick up the black bowl from table center and place it on the plate,47,216,table_collision
pick up the black bowl from table center and place it on the plate,47,217,table_collision
pick up the black bowl from table center and place it on the plate,47,218,table_collision
pick up the black bowl from table center and place it on the plate,47,219,table_collision
pick up the black bowl from table center and place it on the plate,47,220,table_collision
pick up the black bowl on the cookie box and place it on the plate,7,203,table_collision
pick up the black bowl on the cookie box and place it on the plate,7,204,table_collision
pick up the black bowl on the cookie box and place it on the plate,7,206,table_collision
pick up the black bowl on the cookie box and place it on the plate,7,207,table_collision
pick up the black bowl on the cookie box and place it on the plate,7,208,table_collision
pick up the black bowl on the cookie box and place it on the plate,7,209,table_collision
pick up the black bowl on the cookie box and place it on the plate,7,210,table_collision
pick up the black bowl on the cookie box and place it on the plate,7,211,table_collision
pick up the black bowl on the cookie box and place it on the plate,7,212,table_collision
pick up the black bowl on the cookie box and place it on the plate,7,213,table_collision
pick up the black bowl on the cookie box and place it on the plate,7,214,table_collision
pick up the black bowl on the cookie box and place it on the plate,7,215,table_collision
pick up the black bowl on the cookie box and place it on the plate,7,216,table_collision
pick up the black bowl on the cookie box and place it on the plate,7,217,table_collision
pick up the black bowl on the cookie box and place it on the plate,7,218,table_collision
pick up the black bowl on the cookie box and place it on the plate,7,219,table_collision
pick up the black bowl on the cookie box and place it on the plate,7,220,table_collision
pick up the black bowl on the cookie box and place it on the plate,8,210,table_collision
pick up the black bowl on the cookie box and place it on the plate,8,211,table_collision
pick up the black bowl on the cookie box and place it on the plate,8,212,table_collision
pick up the black bowl on the cookie box and place it on the plate,8,214,table_collision
pick up the black bowl on the cookie box and place it on the plate,8,215,table_collision
pick up the black bowl on the cookie box and place it on the plate,8,216,table_collision
pick up the black bowl on the cookie box and place it on the plate,8,217,table_collision
pick up the black bowl on the cookie box and place it on the plate,8,218,table_collision
pick up the black bowl on the cookie box and place it on the plate,8,219,table_collision
pick up the black bowl on the cookie box and place it on the plate,8,220,table_collision
pick up the black bowl on the cookie box and place it on the plate,23,215,table_collision
pick up the black bowl on the cookie box and place it on the plate,23,216,table_collision
pick up the black bowl on the cookie box and place it on the plate,23,217,table_collision
pick up the black bowl on the cookie box and place it on the plate,23,218,table_collision
pick up the black bowl on the cookie box and place it on the plate,23,220,table_collision
pick up the black bowl on the cookie box and place it on the plate,25,218,akita_black_bowl_2_g25
pick up the black bowl on the cookie box and place it on the plate,25,218,akita_black_bowl_2_g33
pick up the black bowl on the cookie box and place it on the plate,25,218,akita_black_bowl_2_g23
pick up the black bowl on the cookie box and place it on the plate,25,218,akita_black_bowl_2_g26
pick up the black bowl on the cookie box and place it on the plate,25,218,akita_black_bowl_2_g31
pick up the black bowl on the cookie box and place it on the plate,25,218,akita_black_bowl_2_g32
pick up the black bowl on the cookie box and place it on the plate,25,218,akita_black_bowl_2_g30
pick up the black bowl on the cookie box and place it on the plate,25,218,akita_black_bowl_2_g24
pick up the black bowl on the cookie box and place it on the plate,25,219,akita_black_bowl_2_g27
pick up the black bowl on the cookie box and place it on the plate,25,219,akita_black_bowl_2_g25
pick up the black bowl on the cookie box and place it on the plate,25,219,akita_black_bowl_2_g33
pick up the black bowl on the cookie box and place it on the plate,25,219,akita_black_bowl_2_g23
pick up the black bowl on the cookie box and place it on the plate,25,219,akita_black_bowl_2_g26
pick up the black bowl on the cookie box and place it on the plate,25,219,akita_black_bowl_2_g31
pick up the black bowl on the cookie box and place it on the plate,25,219,akita_black_bowl_2_g32
pick up the black bowl on the cookie box and place it on the plate,25,219,akita_black_bowl_2_g30
pick up the black bowl on the cookie box and place it on the plate,25,219,akita_black_bowl_2_g24
pick up the black bowl on the cookie box and place it on the plate,25,220,akita_black_bowl_2_g27
pick up the black bowl on the cookie box and place it on the plate,25,220,akita_black_bowl_2_g25
pick up the black bowl on the cookie box and place it on the plate,25,220,akita_black_bowl_2_g33
pick up the black bowl on the cookie box and place it on the plate,25,220,akita_black_bowl_2_g26
pick up the black bowl on the cookie box and place it on the plate,25,220,akita_black_bowl_2_g31
pick up the black bowl on the cookie box and place it on the plate,25,220,akita_black_bowl_2_g32
pick up the black bowl on the cookie box and place it on the plate,25,220,akita_black_bowl_2_g30
pick up the black bowl on the cookie box and place it on the plate,25,220,akita_black_bowl_2_g24
pick up the black bowl on the cookie box and place it on the plate,26,164,table_collision
pick up the black bowl on the cookie box and place it on the plate,26,178,table_collision
pick up the black bowl on the cookie box and place it on the plate,26,180,table_collision
pick up the black bowl on the cookie box and place it on the plate,26,182,table_collision
pick up the black bowl on the cookie box and place it on the plate,26,184,table_collision
pick up the black bowl on the cookie box and place it on the plate,26,185,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,172,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,174,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,175,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,176,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,178,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,179,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,180,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,181,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,182,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,183,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,184,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,185,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,186,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,187,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,188,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,189,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,190,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,191,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,192,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,193,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,194,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,195,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,196,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,197,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,198,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,199,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,200,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,201,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,202,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,203,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,204,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,205,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,206,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,207,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,208,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,209,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,210,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,211,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,212,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,213,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,214,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,215,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,216,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,217,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,218,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,219,table_collision
pick up the black bowl on the cookie box and place it on the plate,31,220,table_collision
pick up the black bowl on the cookie box and place it on the plate,32,194,table_collision
pick up the black bowl on the cookie box and place it on the plate,32,195,table_collision
pick up the black bowl on the cookie box and place it on the plate,32,196,table_collision
pick up the black bowl on the cookie box and place it on the plate,32,197,table_collision
pick up the black bowl on the cookie box and place it on the plate,32,199,table_collision
pick up the black bowl on the cookie box and place it on the plate,32,200,table_collision
pick up the black bowl on the cookie box and place it on the plate,32,201,table_collision
pick up the black bowl on the cookie box and place it on the plate,32,202,table_collision
pick up the black bowl on the cookie box and place it on the plate,32,203,table_collision
pick up the black bowl on the cookie box and place it on the plate,32,204,table_collision
pick up the black bowl on the cookie box and place it on the plate,32,205,table_collision
pick up the black bowl on the cookie box and place it on the plate,32,206,table_collision
pick up the black bowl on the cookie box and place it on the plate,32,207,table_collision
pick up the black bowl on the cookie box and place it on the plate,32,208,table_collision
pick up the black bowl on the cookie box and place it on the plate,32,209,table_collision
pick up the black bowl on the cookie box and place it on the plate,32,210,table_collision
pick up the black bowl on the cookie box and place it on the plate,32,211,table_collision
pick up the black bowl on the cookie box and place it on the plate,32,212,table_collision
pick up the black bowl on the cookie box and place it on the plate,32,213,table_collision
pick up the black bowl on the cookie box and place it on the plate,32,214,table_collision
pick up the black bowl on the cookie box and place it on the plate,32,215,table_collision
pick up the black bowl on the cookie box and place it on the plate,32,216,table_collision
pick up the black bowl on the cookie box and place it on the plate,32,217,table_collision
pick up the black bowl on the cookie box and place it on the plate,32,218,table_collision
pick up the black bowl on the cookie box and place it on the plate,32,219,table_collision
pick up the black bowl on the cookie box and place it on the plate,32,220,table_collision
pick up the black bowl on the cookie box and place it on the plate,38,201,table_collision
pick up the black bowl on the cookie box and place it on the plate,38,203,table_collision
pick up the black bowl on the cookie box and place it on the plate,38,205,table_collision
pick up the black bowl on the cookie box and place it on the plate,38,206,table_collision
pick up the black bowl on the cookie box and place it on the plate,38,207,table_collision
pick up the black bowl on the cookie box and place it on the plate,38,208,table_collision
pick up the black bowl on the cookie box and place it on the plate,38,209,table_collision
pick up the black bowl on the cookie box and place it on the plate,38,210,table_collision
pick up the black bowl on the cookie box and place it on the plate,38,211,table_collision
pick up the black bowl on the cookie box and place it on the plate,38,212,table_collision
pick up the black bowl on the cookie box and place it on the plate,38,213,table_collision
pick up the black bowl on the cookie box and place it on the plate,38,214,table_collision
pick up the black bowl on the cookie box and place it on the plate,38,215,table_collision
pick up the black bowl on the cookie box and place it on the plate,38,216,table_collision
pick up the black bowl on the cookie box and place it on the plate,38,217,table_collision
pick up the black bowl on the cookie box and place it on the plate,38,218,table_collision
pick up the black bowl on the cookie box and place it on the plate,38,219,table_collision
pick up the black bowl on the cookie box and place it on the plate,38,220,table_collision
pick up the black bowl on the cookie box and place it on the plate,39,186,table_collision
pick up the black bowl on the cookie box and place it on the plate,39,187,table_collision
pick up the black bowl on the cookie box and place it on the plate,39,188,table_collision
pick up the black bowl on the cookie box and place it on the plate,39,189,table_collision
pick up the black bowl on the cookie box and place it on the plate,39,190,table_collision
pick up the black bowl on the cookie box and place it on the plate,39,191,table_collision
